Label: Vasto lateral direito: EMG 1->Scale->Math Sampling frequency: 1,925926e+003 Number of points: 58682 X start: 0,000000e+000 Unit: Volts Domain Unit: s
X [s]	Vasto lateral direito: EMG 1->Scale->Math [Volts]
2,824615e-001	2,153002e-005
2,829808e-001	1,830899e-005
2,835000e-001	2,525963e-005
2,840192e-001	2,424247e-005
2,845385e-001	1,237552e-005
2,850577e-001	8,476387e-006
2,855769e-001	1,508797e-005
2,860962e-001	7,967803e-006
2,866154e-001	1,644419e-005
2,871346e-001	4,017808e-005
2,876538e-001	4,187335e-005
2,881731e-001	2,627680e-005
2,886923e-001	2,492058e-005
2,892115e-001	4,255146e-005
2,897308e-001	5,204502e-005
2,902500e-001	4,204288e-005
2,907692e-001	2,458152e-005
2,912885e-001	1,695277e-006
2,918077e-001	2,763302e-005
2,923269e-001	5,221454e-005
2,928462e-001	3,848280e-005
2,933654e-001	3,729610e-006
2,938846e-001	2,898924e-005
2,944038e-001	4,051713e-005
2,949231e-001	6,170809e-005
2,954423e-001	7,476173e-005
2,959615e-001	5,611368e-005
2,964808e-001	1,508797e-005
2,970000e-001	2,390341e-005
2,975192e-001	4,255146e-005
2,980385e-001	5,034974e-005
2,985577e-001	6,018235e-005
2,990769e-001	5,679179e-005
2,995962e-001	4,119524e-005
3,001154e-001	3,085404e-005
3,006346e-001	2,119097e-005
3,011538e-001	4,577249e-006
3,016731e-001	3,848280e-005
3,021923e-001	5,611368e-005
3,027115e-001	5,984329e-005
3,032308e-001	6,340337e-005
3,037500e-001	5,814801e-005
3,042692e-001	2,051286e-005
3,047885e-001	3,441413e-005
3,053077e-001	6,323384e-005
3,058269e-001	4,712871e-005
3,063462e-001	6,611582e-006
3,068654e-001	4,068666e-006
3,073846e-001	3,373602e-005
3,079038e-001	6,526818e-005
3,084231e-001	5,407935e-005
3,089423e-001	2,407294e-005
3,094615e-001	1,695277e-006
3,099808e-001	8,137332e-006
3,105000e-001	2,373388e-006
3,110192e-001	3,051499e-006
3,115385e-001	7,967803e-006
3,120577e-001	1,373175e-005
3,125769e-001	1,254505e-005
3,130962e-001	1,644419e-005
3,136154e-001	5,882612e-005
3,141346e-001	6,272526e-005
3,146538e-001	2,983688e-005
3,151731e-001	1,051072e-005
3,156923e-001	3,661799e-005
3,162115e-001	5,543557e-005
3,167308e-001	7,577889e-005
3,172500e-001	8,188190e-005
3,177692e-001	5,645274e-005
3,182885e-001	1,203647e-005
3,188077e-001	3,305791e-005
3,193269e-001	5,916518e-005
3,198462e-001	5,136690e-005
3,203654e-001	4,102571e-005
3,208846e-001	5,001068e-005
3,214038e-001	5,204502e-005
3,219231e-001	3,000641e-005
3,224423e-001	1,203647e-005
3,229615e-001	1,271458e-005
3,234808e-001	2,017380e-005
3,240000e-001	2,220813e-005
3,245192e-001	1,729183e-005
3,250385e-001	1,135836e-005
3,255577e-001	7,289692e-006
3,260769e-001	1,152789e-005
3,265962e-001	8,815442e-006
3,271154e-001	4,238194e-006
3,276346e-001	1,457938e-005
3,281538e-001	2,881971e-005
3,286731e-001	3,373602e-005
3,291923e-001	3,407508e-005
3,297115e-001	2,559869e-005
3,302308e-001	2,034333e-006
3,307500e-001	1,881758e-005
3,312692e-001	2,119097e-005
3,317885e-001	8,984970e-006
3,323077e-001	7,628748e-006
3,328269e-001	2,305577e-005
3,333462e-001	3,441413e-005
3,338654e-001	3,899138e-005
3,343846e-001	4,085619e-005
3,349038e-001	3,509224e-005
3,354231e-001	7,628748e-006
3,359423e-001	2,017380e-005
3,364615e-001	2,593774e-005
3,369808e-001	1,949569e-005
3,375000e-001	2,644633e-005
3,380192e-001	3,543130e-005
3,385385e-001	2,932830e-005
3,390577e-001	8,306859e-006
3,395769e-001	1,135836e-005
3,400962e-001	2,051286e-005
3,406154e-001	2,458152e-005
3,411346e-001	2,305577e-005
3,416538e-001	1,898710e-005
3,421731e-001	2,525963e-005
3,426923e-001	1,271458e-005
3,432115e-001	2,017380e-005
3,437308e-001	1,915663e-005
3,442500e-001	2,203861e-006
3,447692e-001	1,864805e-006
3,452885e-001	5,933471e-006
3,458077e-001	1,017166e-006
3,463269e-001	2,542916e-006
3,468462e-001	1,627466e-005
3,473654e-001	2,305577e-005
3,478846e-001	1,034119e-005
3,484038e-001	4,763729e-005
3,489231e-001	3,509224e-005
3,494423e-001	2,102144e-005
3,499615e-001	5,679179e-005
3,504808e-001	4,662013e-005
3,510000e-001	2,034333e-005
3,515192e-001	6,442054e-006
3,520385e-001	3,475319e-005
3,525577e-001	4,492485e-005
3,530769e-001	3,271886e-005
3,535962e-001	7,289692e-006
3,541154e-001	3,492271e-005
3,546346e-001	7,154070e-005
3,551538e-001	6,611582e-005
3,556731e-001	3,441413e-005
3,561923e-001	8,306859e-006
3,567115e-001	4,746776e-006
3,572308e-001	8,476387e-006
3,577500e-001	8,306859e-006
3,582692e-001	4,916305e-006
3,587885e-001	3,000641e-005
3,593077e-001	3,966949e-005
3,598269e-001	1,407080e-005
3,603462e-001	1,407080e-005
3,608654e-001	8,645915e-006
3,613846e-001	1,373175e-005
3,619038e-001	1,932616e-005
3,624231e-001	5,085832e-007
3,629423e-001	2,153002e-005
3,634615e-001	2,797208e-005
3,639808e-001	1,881758e-005
3,645000e-001	1,525750e-006
3,650192e-001	1,881758e-005
3,655385e-001	2,763302e-005
3,660577e-001	2,661586e-005
3,665769e-001	1,864805e-005
3,670962e-001	2,831113e-005
3,676154e-001	4,695918e-005
3,681346e-001	4,797635e-005
3,686538e-001	6,543771e-005
3,691731e-001	9,713939e-005
3,696923e-001	9,985183e-005
3,702115e-001	5,526604e-005
3,707308e-001	1,186694e-006
3,712500e-001	2,627680e-005
3,717692e-001	2,559869e-005
